doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
114,0.003,0.017,0.035,0.012,0.005,0.025,0.016,0.003,0.029,0.003,0.024,0.047,0.019,0,0.092,0.003,0.008,0.003,0.101,0.017,0.012,0.015,
115,0.003,0.017,0.029,0.014,0.005,0.03,0.012,0.003,0.028,0.003,0.021,0.05,0.019,0,0.082,0.003,0.005,0.003,0.077,0.019,0.003,0.022,
116,0.003,0.014,0.036,0.014,0.007,0.017,0.012,0.003,0.027,0.003,0.021,0.052,0.019,0,0.042,0.003,0.003,0.003,0.072,0.024,0.004,0.017,
117,0.003,0.012,0.032,0.013,0.009,0.014,0.012,0,0.024,0.003,0.023,0.05,0.019,0,0.023,0.003,0.004,0.003,0.057,0.026,0.003,0.023,
118,0.005,0.014,0.041,0.012,0.012,0.009,0.009,0.003,0.024,0.003,0.021,0.034,0.017,0,0.015,0.003,0.003,0.003,0.052,0.024,0.013,0.011,
119,0.003,0.017,0.041,0.012,0.005,0.009,0.009,0.003,0.022,0.004,0.007,0.029,0.017,0,0.003,0.005,0.007,0,0.031,0.021,0.003,0.022,
120,0.003,0.012,0.044,0.008,0.006,0.004,0.009,0.003,0.022,0.004,0.021,0.029,0.012,0,0.003,0.003,0.005,0,0.033,0.014,0.003,0.008,
121,0.003,0.012,0.042,0.005,0.007,0.004,0.003,0.003,0.017,0.003,0.021,0.03,0.012,0,0.004,0.003,0.005,0,0.034,0.012,0.003,0.008,
122,0.003,0.012,0.037,0.003,0.005,0.003,0.007,0,0.022,0.003,0.017,0.025,0.009,0,0.003,0.003,0.003,0,0.029,0.012,0.003,0.003,
123,0.003,0.005,0.039,0.003,0.009,0.003,0.003,0.003,0.019,0.003,0.017,0.015,0.012,0,0.003,0.003,0.003,0,0.029,0.012,0.003,0.003,
124,0.003,0.004,0.037,0.003,0.017,0.003,0.003,0,0.014,0.003,0.014,0.02,0.009,0,0.003,0.003,0.003,0,0.024,0.007,0.004,0.008,
125,0.003,0.005,0.032,0.005,0.017,0.003,0.003,0.003,0.014,0.003,0.01,0.02,0.012,0,0.003,0.003,0.003,0,0.032,0.005,0.005,0.003,
126,0.003,0.004,0.029,0.003,0.012,0.003,0.004,0,0.008,0.003,0.005,0.022,0.012,0,0.003,0.003,0.003,0,0.024,0.005,0.003,0.003,
