doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
93,0.079,0.287,0.69,0.112,0.693,0.114,0.204,0.163,0.597,0,0.297,0.597,0.079,0,0.079,0.235,0.332,0,0.554,0.28,0.518,0.597,
94,0,0.287,0.597,0.112,0.693,0.339,0.204,0.079,0.524,0,0.214,0.597,0.428,0,0.079,0.079,0.235,0,0.554,0.28,0.428,0.597,
95,0,0.287,0.597,0.112,0.693,0.193,0.104,0.079,0.428,0,0,0.597,0.428,0,0.079,0.175,0.175,0,0.5,0.176,0.428,0.597,
96,0,0.356,0.597,0.112,0.597,0.214,0.118,0.079,0.428,0,0.172,0.597,0.428,0,0,0.079,0.248,0,0.428,0.085,0.428,0.597,
97,0,0.356,0.515,0.231,0.597,0.191,0.118,0.079,0.428,0,0.216,0.597,0.235,0,0,0.079,0.079,0,0.428,0,0.428,0.597,
98,0,0.259,0.554,0.356,0.428,0.175,0,0,0.428,0,0.216,0.597,0.079,0,0.079,0.079,0.079,0,0.428,0.099,0.376,0.597,
99,0,0.259,0.554,0.356,0.196,0.175,0,0,0.428,0,0.216,0.524,0.079,0,0.079,0.079,0.079,0,0.428,0.112,0.376,0.597,
100,0,0.079,0.597,0.356,0.274,0.175,0,0,0.428,0,0.356,0.524,0.079,0,0.079,0.079,0.079,0,0.428,0.176,0.5,0.5,
101,0,0.079,0.524,0.259,0.105,0.079,0,0,0.428,0,0.356,0.597,0.079,0,0.344,0.079,0.079,0,0.428,0.163,0.597,0.597,
102,0,0.079,0.524,0.356,0.078,0.079,0.213,0,0.428,0,0.452,0.597,0.079,0,0.886,0.079,0.079,0,0.5,0.086,0.597,0.524,
103,0,0,0.524,0.259,0.091,0.079,0.102,0,0.428,0,0.524,0.524,0.079,0,0.886,0.079,0.079,0,0.5,0.079,0.597,0.524,
104,0,0,0.524,0.356,0,0.079,0.102,0,0.428,0,0.428,0.524,0.079,0,0.407,0.079,0.079,0,0.5,0.079,0.597,0.428,
105,0,,0.487,0.163,0,0,0,0,0.376,0,0.332,0.524,0.079,0,0.248,0.079,0.079,0,0.5,0.079,0.428,0.524,
106,0,0,0.487,0.163,0,0,0,0,0.428,0,0.175,0.524,0.079,0,0.248,0.079,0.079,0,0.455,0.079,0.356,0.428,
107,0,0,0,0.163,0,0,0,0,0.384,0,0.079,0.524,0.079,0,0,0,0.079,0,0.168,0.079,0.332,0.356,
108,0,0,0,0.163,0,0,0.079,0,0.356,0,0.079,0.41,0.089,0,0.079,0,0.079,0,,0.079,0.163,0.356,
109,0,0,0,0,0,0,0.079,0,0.356,0,0,0.473,,0,0,0,0,0,1,0.079,0.079,0.356,
110,0,0.085,0.163,0,0,0,0.079,0,0.356,0,0,0.367,0.095,0,0,0,0,0,0.866,0.079,0.079,0.428,
