doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
138,0,0,0.175,0,0.059,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0.06,0.059,0,0.059,
139,0,0,0.175,0,0.059,0,0,0,0.059,0,0,0,0.059,0,0,0,0,0,0.059,0.059,0,0,
140,0,0,0.119,0,0,0,0,0,0.059,0,0,0.059,0,0,0,0,0,0,0.059,0.059,0,0,
141,0,0,0.059,0,0,0,0,0,0.059,0,0,0.059,0.059,0,0,0,0,0,0.059,0,0,0,
142,0,0,0.059,0.059,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0.06,0,0,0,
143,0,0,0.059,0,0,0,0,0,0,0,0,0.059,0.059,0,0,0,0,0,0.059,0,0,0,
144,0,0,0.06,0.059,0,0,0,0,0,0,0,0.059,0.059,0,0,0,0,0,0.059,0,0,0,
145,0,0,0.059,0,0,0,0,0,0,0,0,0.059,0.059,0,0,0,0,0,0.059,0.094,0,0,
146,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.094,0,0,
147,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,
148,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,
149,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,
150,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,
151,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,
152,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
