doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
81,0.342,,,0.443,0.342,0.294,0.342,0.342,0.342,0.154,0.308,0.63,0.342,0.254,0.342,0.342,0.342,0.154,0.342,0.443,0.342,0.587,
82,0.279,,1,0.342,0.342,0.294,0.342,0.342,0.443,0.069,0.342,0.63,0.342,0.254,0.342,0.342,0.342,0.069,0.342,0.443,0.279,0.805,
83,0.342,,0.81,0.342,0.342,0.294,0.342,0.342,0.443,0.069,0.342,0.529,0.342,0.069,0.342,0.342,0.342,0.069,0.342,0.342,0.279,0.805,
84,0.342,,0.671,0.342,0.279,0.294,0.342,0.342,0.443,0.069,0.342,0.529,0.342,0.069,0.342,0.342,0.342,0.069,0.342,0.342,0.529,0.805,
85,0.342,,0.671,0.342,0.279,0,0.342,0.157,0.476,0.069,0.342,0.529,0.342,0.069,0.342,0.342,0.342,0.069,0.466,0.342,0.529,0.705,
86,0.342,,0.671,0.342,0.279,0.133,0.342,0.342,0.476,0.069,0.342,0.529,0.342,0.069,0.342,0.342,0.342,0.069,,0.342,0.529,0.705,
87,0.342,,0.671,0.279,0.342,0.133,0.342,0.342,0.428,0.069,0.342,0.529,0.279,0,0.342,0.342,0.342,0.069,,0.342,0.529,0.63,
88,0.342,,0.588,0.205,0.342,0.133,0.342,0.342,0.428,0.069,0.342,0.476,0.279,0.069,0.342,0.342,0.342,0.069,,0.342,0.428,0.63,
89,0.342,,0.588,0.189,0.342,0.133,0.342,0.254,0.428,0.069,0.342,0.476,0.279,0.254,0.342,0.342,0.342,0.069,,0.279,0.342,0.63,
90,0.342,0,0.588,0.189,0.342,0.133,0.342,0.254,0.428,0.069,0.342,0.421,0.342,0.254,0.231,0.342,0.342,0.154,0.355,0.095,0.342,0.63,
91,0.342,0,0.588,0.189,0.269,0.133,0.342,0.254,0.428,0.069,0.342,0.375,0.342,0.154,0.304,0.342,0.342,0.154,0.324,,0.342,0.529,
92,0.342,0.381,0.529,0.279,0.428,0.133,0.279,0.254,0.342,0.069,0.342,0.375,0.294,0.069,0.275,0.342,0.279,0.154,0.324,0.321,0.342,0.428,
93,0.342,0.342,0.529,0.22,0.428,0.133,0.279,0.254,0.342,0.154,0.342,0.375,0.342,0.069,0.254,0.342,0.342,0.069,0.324,0.196,0.421,0.428,
94,0,0.342,0.529,0.22,0.428,,0.279,0.254,0.342,0.069,0.294,0.428,0.342,0.069,0.254,0.342,0.342,0.069,0.324,0.196,0.342,0.428,
95,0,0.342,0.529,0.22,0.428,0.118,0.254,0.254,0.342,0.154,0,0.428,0.342,0,0.169,0.342,0.342,0,0.342,0.302,0.342,0.342,
96,0,0.342,0.529,0.22,0.428,0.342,0.254,0.254,0.342,0.069,0.129,0.428,0.342,0,0.254,0.342,0.342,0,0.342,0.302,0.342,0.342,
97,0,0.342,0.428,0.294,0.428,0.342,0.254,0.091,0.279,0.069,0.177,0.428,0.342,0,0.254,0.342,0.342,0.069,0.342,0.302,0.342,0.342,
98,0,0.342,0.428,0.342,0.342,0.342,0.533,0,0.279,0.069,0.177,0.342,0.342,0,0.254,0.169,0.342,0.069,0.342,0.4,0.114,0.342,
99,0.069,0.342,0.529,0.342,0.342,0.342,0.348,0.091,0.279,0.069,0.177,0.342,0.342,0,0.169,0.169,0.254,0,0.342,0.357,0.114,0.342,
100,0.154,0.254,0.342,0.342,0.342,0.342,0.348,0.091,0.342,0,0.342,0.342,0.342,0.088,0.255,0.169,0.199,0,0.342,0.311,0.342,0.342,
101,0.069,0.254,0.428,0.342,0.342,0.342,0.348,0.154,0.342,0.069,0.342,0.342,0.342,0,0.476,0.169,0.294,0,0.342,0.279,0.342,0.342,
102,0.069,0.254,0.342,0.342,0.342,0.169,0,0.154,0.342,0.069,0.342,0.342,0.342,0,0.476,0.102,0.294,0,0.342,0.279,0.342,0.342,
103,0.069,0.254,0.342,0.342,0.342,0.169,0.133,0.069,0.342,0.069,0.342,0.342,0.254,0,0.476,0.154,0.294,0,0.342,0.279,0.342,0.342,
104,0.069,0.254,0.279,0.342,0.342,0.069,0.133,0.154,0.342,0.069,0.342,0.342,0.254,0,0.428,0.154,0.199,0,0.342,0.279,0.342,0.342,
105,0.069,,0.205,0.342,0.342,0,0.133,0,0.342,0.069,0.342,0.342,0.069,0,0.428,0.154,0.254,0,0.342,0.279,0.342,0.342,
106,0.069,0.254,0.205,0.342,0.242,0,0.133,0,0.342,0.069,0.342,0.342,0.154,0,0.342,0.154,0.254,0,0.342,0.279,0.342,0.342,
107,0,0.154,0,0.342,0.186,0,0.279,0.069,0.342,0.069,0.279,0.342,0.154,0,0.342,0.069,0.254,0,0,0.279,0.342,0.342,
108,0,0.154,0,0.342,0.294,0,0.279,0,0.342,0.069,0.279,0.342,0.101,0,0.254,0.154,0.254,0,,0.254,0.342,0.342,
109,0,0.154,0,0,0.199,0,0.254,0,0.342,0,0.205,0.342,1,0,0.254,0.069,0.069,0,0,0.076,0.242,0.342,
110,0,0.281,0.229,0,0.108,0,0.254,0,0.342,0,0.254,0.342,0.189,0,0,0.154,0.154,0,0.687,0.076,0.154,0.342,
111,0,0.306,0.229,0,0.254,0,0.254,0,0.342,0,0.185,0.342,0.254,0,0,0,0.069,0,0.428,0.171,0,0.342,
112,0,0.306,0.229,0,0.254,0,0.154,0,0.342,0,0.254,0.342,0.254,0,0.348,0,0.154,0,0.428,0.171,0.154,0.342,
113,0,0.306,0.229,0.199,0.254,0,0.069,0.069,0.342,0,0.254,0.342,0.254,0,0.436,0,0.069,0,0.428,0.171,0,0.342,
114,0,0.254,0.229,0.199,0.254,0.069,0.069,0,0.342,0,0.254,0.342,0.254,0,0.428,0,0.069,0,0.428,0.171,0,0.169,
115,0,0.254,0.205,0.254,0.069,0.069,0.154,0,0.342,0,0.254,0.342,0.254,0,0.342,0,0.069,0,0.342,0.171,0.069,0.342,
